fecha,precio_urea_usd_kg,precio_fungicida_usd_l,precio_gasoil_usd_l,precio_limon_exportacion_usd_t,precio_limon_industria_usd_t
2019-11-04,0.59,18.77,1.14,467.1,60.7
2019-11-11,0.57,17.52,1.03,516.14,63.59
2019-11-18,0.57,20.46,1.15,436.87,70.28
2019-11-25,0.62,18.49,1.12,497.19,56.86
2019-12-02,0.62,15.49,1.12,548.61,50.8
2019-12-09,0.57,17.4,1.08,391.65,57.23
2019-12-16,0.61,17.92,1.14,481.66,72.27
2019-12-23,0.59,17.24,1.13,502.77,76.94
2019-12-30,0.57,18.12,1.16,439.26,60.25
2020-01-06,0.54,15.68,1.17,462.68,62.43
2020-01-13,0.6,16.72,1.14,427.51,76.69
2020-01-20,0.54,17.74,1.09,498.18,56.02
2020-01-27,0.58,19.12,1.15,494.3,48.22
2020-02-03,0.54,18.15,1.13,496.73,59.04
2020-02-10,0.61,15.88,1.25,462.92,68.37
2020-02-17,0.56,18.41,1.08,485.2,55.73
2020-02-24,0.6,18.93,1.08,437.19,65.49
2020-03-02,0.69,17.84,1.18,457.6,83.31
2020-03-09,0.52,18.14,1.06,358.81,63.57
2020-03-16,0.61,17.65,1.14,580.1,56.9
2020-03-23,0.62,17.17,1.16,443.68,55.07
2020-03-30,0.68,19.57,1.15,358.04,55.67
2020-04-06,0.72,17.73,1.21,504.89,62.63
2020-04-13,0.56,14.84,1.18,411.66,62.11
2020-04-20,0.55,17.69,1.15,452.08,46.62
2020-04-27,0.65,17.26,1.06,434.15,60.41
2020-05-04,0.61,19.83,1.14,431.02,46.76
2020-05-11,0.64,18.29,1.13,357.05,77.33
2020-05-18,0.55,17.27,1.17,382.97,42.08
2020-05-25,0.51,19.0,1.12,545.72,48.07
2020-06-01,0.56,17.31,1.16,407.82,67.35
2020-06-08,0.56,16.24,1.05,335.93,53.78
2020-06-15,0.59,17.23,1.22,472.48,55.98
2020-06-22,0.52,17.32,1.12,395.83,51.63
2020-06-29,0.57,17.56,1.11,429.48,64.32
2020-07-06,0.56,19.74,1.1,355.76,64.57
2020-07-13,0.57,18.49,1.02,475.79,68.07
2020-07-20,0.54,16.13,1.24,390.51,49.99
2020-07-27,0.5,17.62,1.14,448.84,43.21
2020-08-03,0.54,18.67,1.21,357.89,72.98
2020-08-10,0.6,19.52,1.15,320.65,58.18
2020-08-17,0.65,16.91,1.13,415.59,25.21
2020-08-24,0.68,16.9,1.18,420.53,75.09
2020-08-31,0.62,17.78,1.1,457.53,37.52
2020-09-07,0.63,16.65,1.22,433.94,67.73
2020-09-14,0.61,15.79,1.1,456.48,62.0
2020-09-21,0.66,18.63,1.1,400.03,61.24
2020-09-28,0.5,20.31,1.18,483.43,41.03
2020-10-05,0.66,21.04,1.08,467.84,60.01
2020-10-12,0.54,18.76,1.2,415.71,73.99
2020-10-19,0.53,16.14,1.16,443.63,51.4
2020-10-26,0.64,18.81,1.2,440.63,67.23
2020-11-02,0.58,20.82,1.11,532.75,60.42
2020-11-09,0.54,19.92,1.16,485.58,74.69
2020-11-16,0.62,17.34,1.21,454.55,68.23
2020-11-23,0.51,18.71,1.12,523.59,67.48
2020-11-30,0.61,18.77,1.1,525.25,83.9
2020-12-07,0.62,20.23,1.12,431.2,60.49
2020-12-14,0.62,17.61,1.18,477.97,48.02
2020-12-21,0.63,19.28,1.16,514.29,45.39
2020-12-28,0.63,16.6,1.09,445.24,48.7
2021-01-04,0.58,17.86,1.2,459.72,40.97
2021-01-11,0.65,17.04,1.15,492.29,62.4
2021-01-18,0.65,18.78,1.11,563.19,62.33
2021-01-25,0.6,19.42,1.17,493.37,89.91
2021-02-01,0.59,17.73,1.16,521.34,41.92
2021-02-08,0.52,17.38,1.07,462.29,66.03
2021-02-15,0.57,16.28,1.16,514.29,39.66
2021-02-22,0.64,19.24,1.21,528.73,86.42
2021-03-01,0.59,18.31,1.13,479.98,78.39
2021-03-08,0.55,17.03,1.23,520.31,55.64
2021-03-15,0.64,18.62,1.24,481.81,72.31
2021-03-22,0.72,18.96,1.16,506.75,55.62
2021-03-29,0.71,18.41,1.14,443.17,73.17
2021-04-05,0.64,17.52,1.19,414.74,62.22
2021-04-12,0.63,20.44,1.11,422.18,49.25
2021-04-19,0.55,19.95,1.24,484.12,74.66
2021-04-26,0.61,18.06,1.14,456.69,41.43
2021-05-03,0.62,18.14,1.2,470.44,58.05
2021-05-10,0.57,18.29,1.2,418.39,61.05
2021-05-17,0.62,17.25,1.13,470.64,46.4
2021-05-24,0.62,17.01,1.22,552.1,49.67
2021-05-31,0.63,17.24,1.22,405.06,65.77
2021-06-07,0.57,17.93,1.1,485.6,49.96
2021-06-14,0.63,17.75,1.15,455.62,50.86
2021-06-21,0.62,20.24,1.12,493.59,77.98
2021-06-28,0.57,16.29,1.18,421.86,82.42
2021-07-05,0.61,17.15,1.1,484.45,53.15
2021-07-12,0.61,19.49,1.13,436.21,59.8
2021-07-19,0.64,19.01,1.15,437.91,55.54
2021-07-26,0.54,18.57,1.26,397.47,50.72
2021-08-02,0.57,19.19,1.18,424.11,48.98
2021-08-09,0.61,16.16,1.17,463.14,44.99
2021-08-16,0.54,20.33,1.13,471.76,58.15
2021-08-23,0.6,18.82,1.11,429.9,55.42
2021-08-30,0.55,18.69,1.15,416.85,45.48
2021-09-06,0.68,19.41,1.21,409.72,39.25
2021-09-13,0.69,18.16,1.12,437.69,74.01
2021-09-20,0.61,19.95,1.22,377.33,51.91
2021-09-27,0.65,14.65,1.15,362.82,54.28
2021-10-04,0.6,17.78,1.13,376.14,87.5
2021-10-11,0.69,16.71,1.25,404.31,61.55
2021-10-18,0.61,17.38,1.22,425.89,54.28
2021-10-25,0.55,17.08,1.07,422.2,45.64
2021-11-01,0.6,20.09,1.23,421.55,58.95
2021-11-08,0.69,18.96,1.14,367.21,64.73
2021-11-15,0.65,17.43,1.18,411.38,57.79
2021-11-22,0.5,17.98,1.22,402.57,60.63
2021-11-29,0.58,18.76,1.15,392.38,75.99
2021-12-06,0.65,17.48,1.19,453.78,67.71
2021-12-13,0.53,19.62,1.13,420.47,91.65
2021-12-20,0.62,17.77,1.04,493.03,43.86
2021-12-27,0.57,17.85,1.24,471.16,58.11
2022-01-03,0.62,17.49,1.17,446.04,71.63
2022-01-10,0.65,18.95,1.14,475.73,58.9
2022-01-17,0.56,17.76,1.17,485.45,57.8
2022-01-24,0.56,18.38,1.17,459.48,71.04
2022-01-31,0.66,17.51,1.13,413.41,68.39
2022-02-07,0.67,17.89,1.15,516.62,66.07
2022-02-14,0.63,16.72,1.2,423.63,46.39
2022-02-21,0.59,17.53,1.15,405.9,71.51
2022-02-28,0.66,15.72,1.22,433.72,70.28
2022-03-07,0.61,18.36,1.16,517.07,45.12
2022-03-14,0.64,19.79,1.21,563.83,53.65
2022-03-21,0.65,18.18,1.23,472.59,55.35
2022-03-28,0.67,17.67,1.09,454.04,67.43
2022-04-04,0.67,18.48,1.24,421.96,54.68
2022-04-11,0.6,18.18,1.17,505.24,54.66
2022-04-18,0.62,18.27,1.12,474.09,58.28
2022-04-25,0.6,18.38,1.17,462.09,75.27
2022-05-02,0.56,17.38,1.32,438.32,43.75
2022-05-09,0.64,15.57,1.15,565.83,41.46
2022-05-16,0.52,16.35,1.22,524.85,53.85
2022-05-23,0.64,20.2,1.27,469.56,32.38
2022-05-30,0.58,17.78,1.15,471.17,73.43
2022-06-06,0.67,18.12,1.23,491.97,60.77
2022-06-13,0.65,18.45,1.28,418.83,53.82
2022-06-20,0.61,18.95,1.24,473.83,42.93
2022-06-27,0.65,19.37,1.06,472.84,40.92
2022-07-04,0.58,17.16,1.21,475.63,44.57
2022-07-11,0.65,16.45,1.19,436.15,55.61
2022-07-18,0.63,19.07,1.24,462.99,63.68
2022-07-25,0.59,18.62,1.19,459.75,38.35
2022-08-01,0.63,18.86,1.13,409.57,77.71
2022-08-08,0.63,18.07,1.11,425.23,75.63
2022-08-15,0.62,17.65,1.2,422.6,78.01
2022-08-22,0.67,17.76,1.13,347.48,42.22
2022-08-29,0.55,18.57,1.15,395.39,56.63
2022-09-05,0.64,19.1,1.06,441.08,43.4
2022-09-12,0.65,19.44,1.12,412.62,54.46
2022-09-19,0.51,18.85,1.16,479.18,46.82
2022-09-26,0.59,16.38,1.11,390.31,71.95
2022-10-03,0.58,18.57,1.15,384.14,57.98
2022-10-10,0.64,16.79,1.22,398.42,54.2
2022-10-17,0.64,17.52,1.17,417.48,61.55
2022-10-24,0.51,15.96,1.21,469.42,49.07
2022-10-31,0.6,18.81,1.21,344.91,49.37
2022-11-07,0.6,19.36,1.31,415.21,43.12
2022-11-14,0.63,20.19,1.18,386.65,71.5
2022-11-21,0.64,17.05,1.19,461.65,74.18
2022-11-28,0.61,17.95,1.24,372.48,65.26
2022-12-05,0.55,19.86,1.16,471.05,65.9
2022-12-12,0.56,20.34,1.26,455.32,50.86
2022-12-19,0.6,18.63,1.13,487.74,61.73
2022-12-26,0.49,18.89,1.15,417.37,55.58
2023-01-02,0.65,19.94,1.19,407.4,59.5
2023-01-09,0.62,17.37,1.21,440.28,78.49
2023-01-16,0.67,17.53,1.22,385.02,68.35
2023-01-23,0.59,17.08,1.19,317.53,38.99
2023-01-30,0.61,18.56,1.15,363.04,50.19
2023-02-06,0.63,19.24,1.17,474.44,64.77
2023-02-13,0.58,18.08,1.1,426.01,73.35
2023-02-20,0.65,20.34,1.16,486.53,57.68
2023-02-27,0.68,18.43,1.21,494.23,57.68
2023-03-06,0.63,20.2,1.17,385.07,85.72
2023-03-13,0.59,18.68,1.24,416.36,47.91
2023-03-20,0.63,16.06,1.16,453.4,56.76
2023-03-27,0.55,20.62,1.18,503.8,56.88
2023-04-03,0.58,18.84,1.16,402.44,77.64
2023-04-10,0.59,16.01,1.25,432.37,52.71
2023-04-17,0.54,20.82,1.1,457.86,70.95
2023-04-24,0.64,18.41,1.08,426.04,62.25
2023-05-01,0.58,18.76,1.21,499.77,45.29
2023-05-08,0.71,19.52,1.18,507.57,88.38
2023-05-15,0.55,18.19,1.04,474.27,64.38
2023-05-22,0.61,17.62,1.06,483.92,77.47
2023-05-29,0.59,19.09,1.09,489.49,55.28
2023-06-05,0.58,17.48,1.16,488.51,44.25
2023-06-12,0.6,18.45,1.12,546.86,49.76
2023-06-19,0.59,17.19,1.28,498.64,48.76
2023-06-26,0.67,18.78,1.19,464.02,51.01
2023-07-03,0.63,17.78,1.28,428.01,78.43
2023-07-10,0.61,18.92,1.23,454.27,70.37
2023-07-17,0.5,17.55,1.13,429.75,57.42
2023-07-24,0.63,19.47,1.19,453.37,64.43
2023-07-31,0.62,19.79,1.22,481.02,49.23
2023-08-07,0.59,17.79,1.16,490.04,68.58
2023-08-14,0.62,18.55,1.19,457.9,48.9
2023-08-21,0.54,17.6,1.21,449.35,57.15
2023-08-28,0.64,19.24,1.12,516.0,73.53
2023-09-04,0.57,17.43,1.25,468.64,33.36
2023-09-11,0.56,18.21,1.11,456.13,60.39
2023-09-18,0.68,18.15,1.24,527.74,77.21
2023-09-25,0.63,15.9,1.21,510.25,59.03
2023-10-02,0.7,19.71,1.21,509.31,64.0
2023-10-09,0.51,17.88,1.25,430.92,57.32
2023-10-16,0.57,20.96,1.28,425.12,61.77
2023-10-23,0.59,19.39,1.21,490.08,63.98
2023-10-30,0.75,17.18,1.09,438.96,41.18
2023-11-06,0.55,17.21,1.13,413.51,66.22
2023-11-13,0.6,18.33,1.23,418.05,56.83
2023-11-20,0.64,15.95,1.05,459.56,65.9
2023-11-27,0.71,18.79,1.23,434.95,63.57
2023-12-04,0.69,15.71,1.21,525.32,63.38
2023-12-11,0.69,17.73,1.18,438.47,33.39
2023-12-18,0.57,17.1,1.23,469.38,63.89
2023-12-25,0.66,18.36,1.25,432.35,60.69
2024-01-01,0.61,19.51,1.16,468.75,46.41
2024-01-08,0.57,19.52,1.18,409.44,70.68
2024-01-15,0.59,18.32,1.26,487.28,78.87
2024-01-22,0.61,20.26,1.13,387.8,31.79
2024-01-29,0.7,17.43,1.18,386.29,68.34
2024-02-05,0.6,16.84,1.21,364.24,49.95
2024-02-12,0.53,16.68,1.19,342.19,42.23
2024-02-19,0.62,17.87,1.3,493.6,49.58
2024-02-26,0.65,19.63,1.15,360.19,59.85
2024-03-04,0.61,18.02,1.21,390.05,46.18
2024-03-11,0.63,19.14,1.12,457.57,38.75
2024-03-18,0.59,18.27,1.15,398.51,82.45
2024-03-25,0.58,21.93,1.21,425.74,65.71
2024-04-01,0.74,17.28,1.12,393.09,60.39
2024-04-08,0.54,18.66,1.28,430.84,56.49
2024-04-15,0.59,19.85,1.14,500.39,83.2
2024-04-22,0.63,18.62,1.24,472.31,50.33
2024-04-29,0.6,16.85,1.21,457.38,43.8
2024-05-06,0.6,16.81,1.14,455.15,51.2
2024-05-13,0.61,16.44,1.2,433.89,51.25
2024-05-20,0.61,18.89,1.14,379.32,81.67
2024-05-27,0.59,18.52,1.24,582.35,45.07
2024-06-03,0.64,17.69,1.16,415.28,46.49
2024-06-10,0.62,16.65,1.24,449.26,65.07
2024-06-17,0.6,18.16,1.2,403.49,55.7
2024-06-24,0.58,17.45,1.07,506.62,51.76
2024-07-01,0.67,20.11,1.11,412.48,90.73
2024-07-08,0.7,18.62,1.2,433.68,65.19
2024-07-15,0.59,15.91,1.11,462.58,46.43
2024-07-22,0.62,17.21,1.14,498.56,62.97
2024-07-29,0.62,19.87,1.22,524.85,54.48
2024-08-05,0.6,16.91,1.16,507.96,75.6
2024-08-12,0.67,16.24,1.25,398.02,70.78
2024-08-19,0.61,19.64,1.11,520.38,42.42
2024-08-26,0.59,17.33,1.09,479.05,81.67
2024-09-02,0.74,18.82,1.25,486.04,65.99
2024-09-09,0.61,18.96,1.22,454.84,59.07
2024-09-16,0.62,19.82,1.13,476.86,82.94
2024-09-23,0.68,20.53,1.19,492.41,72.03
2024-09-30,0.69,16.05,1.12,532.31,56.68
2024-10-07,0.59,17.0,1.16,423.89,85.09
2024-10-14,0.62,18.63,1.22,518.24,71.35
2024-10-21,0.67,17.85,1.17,509.96,53.67
2024-10-28,0.62,19.25,1.24,407.26,68.58
2024-11-04,0.61,19.68,1.23,541.57,76.24
2024-11-11,0.69,20.68,1.21,477.16,70.47
2024-11-18,0.66,18.3,1.21,472.82,49.75
2024-11-25,0.68,18.8,1.31,407.32,53.32
2024-12-02,0.63,20.28,1.21,482.64,46.47
2024-12-09,0.57,19.17,1.11,446.64,66.01
2024-12-16,0.58,20.92,1.26,402.56,48.81
2024-12-23,0.52,17.67,1.24,446.22,65.53
2024-12-30,0.56,19.82,1.16,460.49,58.89
2025-01-06,0.57,17.17,1.25,473.09,72.6
2025-01-13,0.64,18.94,1.09,443.37,59.67
2025-01-20,0.71,19.68,1.28,475.1,51.46
2025-01-27,0.63,19.07,1.14,432.82,57.53
2025-02-03,0.7,15.91,1.26,407.74,43.54
2025-02-10,0.68,19.75,1.26,474.31,84.72
2025-02-17,0.65,18.54,1.21,489.17,50.65
2025-02-24,0.6,18.34,1.07,442.2,37.37
2025-03-03,0.63,19.94,1.17,501.14,42.47
2025-03-10,0.68,19.69,1.1,540.03,59.24
2025-03-17,0.59,16.85,1.18,424.23,61.23
2025-03-24,0.61,19.64,1.17,349.86,58.21
2025-03-31,0.52,19.26,1.14,431.96,75.77
2025-04-07,0.58,20.23,1.17,493.95,55.62
2025-04-14,0.59,19.72,1.17,388.84,54.27
2025-04-21,0.62,20.62,1.09,422.36,67.5
2025-04-28,0.64,20.58,1.19,413.28,67.11
2025-05-05,0.63,18.26,1.23,394.08,52.67
2025-05-12,0.6,20.64,1.01,435.83,60.41
2025-05-19,0.55,19.22,1.22,443.71,28.18
2025-05-26,0.69,17.79,1.24,450.18,49.48
2025-06-02,0.66,18.27,1.08,467.96,50.7
2025-06-09,0.59,18.25,1.21,419.95,66.58
2025-06-16,0.57,17.79,1.19,499.44,58.63
2025-06-23,0.68,18.86,1.17,415.19,57.98
2025-06-30,0.65,20.69,1.22,474.33,48.42
2025-07-07,0.61,17.82,1.22,414.51,68.76
2025-07-14,0.58,18.88,1.24,348.49,85.46
2025-07-21,0.61,16.05,1.21,434.86,59.02
2025-07-28,0.67,19.85,1.21,454.12,58.75
2025-08-04,0.71,16.8,1.21,441.43,69.76
2025-08-11,0.59,16.44,1.21,452.92,77.88
2025-08-18,0.57,20.41,1.33,429.48,44.51
2025-08-25,0.61,18.85,1.23,423.9,78.66
2025-09-01,0.58,16.45,1.26,359.57,57.55
2025-09-08,0.77,18.82,1.13,451.25,59.39
2025-09-15,0.64,19.75,1.14,524.01,62.94
2025-09-22,0.66,17.99,1.27,449.11,63.33
2025-09-29,0.59,17.48,1.24,444.45,49.75
2025-10-06,0.6,19.81,1.16,460.16,60.18
2025-10-13,0.54,16.84,1.22,437.92,72.68
2025-10-20,0.67,19.84,1.3,466.43,67.79
2025-10-27,0.6,22.22,1.31,472.38,64.64
2025-11-03,0.69,18.66,1.16,508.8,60.94
2025-11-10,0.64,17.72,1.1,484.99,70.86
2025-11-17,0.62,20.84,1.16,434.8,59.19
2025-11-24,0.63,19.93,1.16,532.88,83.6
2025-12-01,0.63,20.59,1.14,522.06,72.57
2025-12-08,0.67,18.86,1.03,453.98,52.49
2025-12-15,0.58,19.05,1.18,446.97,47.29
2025-12-22,0.6,20.42,1.16,459.37,54.52
2025-12-29,0.65,19.51,1.03,520.54,77.24
2026-01-05,0.58,17.55,1.18,448.84,62.69
2026-01-12,0.54,17.36,1.29,441.08,74.92
2026-01-19,0.65,16.41,1.24,472.34,54.53
2026-01-26,0.64,19.55,1.24,522.74,64.9
2026-02-02,0.57,18.25,1.37,502.9,88.43
2026-02-09,0.69,19.24,1.22,470.53,39.15
2026-02-16,0.63,20.57,1.17,486.33,70.22
2026-02-23,0.59,18.29,1.14,434.62,44.55
2026-03-02,0.59,20.86,1.15,470.04,53.97
2026-03-09,0.68,20.72,1.25,474.56,57.23
2026-03-16,0.58,21.59,1.16,486.07,72.71
2026-03-23,0.61,20.35,1.25,525.75,54.37
2026-03-30,0.57,18.23,1.22,456.01,55.28
2026-04-06,0.54,19.57,1.32,469.26,67.31
2026-04-13,0.66,19.48,1.26,463.51,56.25
2026-04-20,0.59,18.59,1.22,432.07,63.77
2026-04-27,0.65,20.08,1.28,444.92,44.31
2026-05-04,0.62,19.0,1.1,494.5,61.71
2026-05-11,0.65,20.82,1.17,459.19,58.68
2026-05-18,0.62,17.88,1.3,418.61,68.39
2026-05-25,0.55,20.57,1.27,435.1,57.28
2026-06-01,0.65,22.1,1.1,460.25,49.06
2026-06-08,0.63,18.61,1.18,426.52,46.39
2026-06-15,0.68,16.48,1.24,412.07,45.95
2026-06-22,0.64,16.81,1.21,366.67,65.54
2026-06-29,0.59,18.34,1.22,391.39,59.3
2026-07-06,0.56,19.83,1.31,532.97,61.09
2026-07-13,0.67,16.51,1.29,451.61,54.19
2026-07-20,0.69,18.62,1.18,439.15,47.24
2026-07-27,0.68,17.52,1.15,383.61,69.11
